,IPO_elasticnet,IPO_kernel,IPO_lasso,IPO_linear,IPO_nn,IPO_polynomial,IPO_ridge,OLS_elasticnet,OLS_kernel,OLS_lasso,OLS_linear,OLS_nn,OLS_polynomial,OLS_ridge
IPO_elasticnet,0.5,1.0,0.9822,0.9826,0.9108,1.0,0.9244,0.5436,1.0,0.5436,1.0,1.0,1.0,1.0
IPO_kernel,0.0,0.5,0.0,0.0,0.0,0.8364,0.0,0.0,0.0898,0.0,0.0,0.0012,0.0884,0.0
IPO_lasso,0.0178,1.0,0.5,0.4996,0.0406,1.0,0.3604,0.0276,1.0,0.0276,0.824,0.9992,1.0,0.7426
IPO_linear,0.0174,1.0,0.5004,0.5,0.059,1.0,0.4282,0.0032,1.0,0.0032,0.9046,1.0,1.0,0.8258
IPO_nn,0.0892,1.0,0.9594,0.941,0.5,1.0,0.8544,0.1518,1.0,0.1518,0.9988,0.9998,1.0,0.9968
IPO_polynomial,0.0,0.1636,0.0,0.0,0.0,0.5,0.0,0.0,0.0222,0.0,0.0,0.0,0.0098,0.0
IPO_ridge,0.0756,1.0,0.6396,0.5718,0.1456,1.0,0.5,0.0446,1.0,0.0446,0.815,0.999,1.0,0.75
OLS_elasticnet,0.4564,1.0,0.9724,0.9968,0.8482,1.0,0.9554,0.5,1.0,0.0,0.9946,1.0,1.0,0.9918
OLS_kernel,0.0,0.9102,0.0,0.0,0.0,0.9778,0.0,0.0,0.5,0.0,0.0,0.0188,0.3522,0.0
OLS_lasso,0.4564,1.0,0.9724,0.9968,0.8482,1.0,0.9554,0.0,1.0,0.5,0.9946,1.0,1.0,0.9918
OLS_linear,0.0,1.0,0.176,0.0954,0.0012,1.0,0.185,0.0054,1.0,0.0054,0.5,0.9988,1.0,0.0
OLS_nn,0.0,0.9988,0.0008,0.0,0.0002,1.0,0.001,0.0,0.9812,0.0,0.0012,0.5,0.9156,0.0006
OLS_polynomial,0.0,0.9116,0.0,0.0,0.0,0.9902,0.0,0.0,0.6478,0.0,0.0,0.0844,0.5,0.0
OLS_ridge,0.0,1.0,0.2574,0.1742,0.0032,1.0,0.25,0.0082,1.0,0.0082,1.0,0.9994,1.0,0.5
