Date,Close,High,Low,Open,Volume
2000-01-03,206.6908416748047,216.9278880785096,202.7910144733933,216.9278880785096,1681920
2000-01-04,194.01638793945312,203.522215991763,194.01638793945312,202.7909984492776,2403280
2000-01-05,201.8160095214844,202.790966089221,193.04140041185465,198.40366153440613,1742547
2000-01-06,211.5656585693359,213.27183323521768,199.86617514614684,200.10991438412995,1863280
2000-01-07,210.59071350097656,214.2468022770352,205.95966771796896,210.59071350097656,1394587
2000-01-10,209.8594207763672,214.24672574033303,208.88446411770812,214.24672574033303,850320
2000-01-11,207.17825317382812,212.0530356014476,206.20329668830425,208.153209659352,996653
2000-01-12,214.4904327392578,214.49043273925776,208.39695453643796,208.88443279266355,1145773
2000-01-13,216.92788696289065,218.63406135473355,213.27179898037,214.4904949745435,1237987
2000-01-14,226.18992614746097,228.38357844846004,220.0964475335746,220.34018667813007,2225493
2000-01-18,228.13992309570312,229.84609773423935,223.0213991800944,226.43374845716687,1571720
2000-01-19,233.01466369628903,234.47709882409004,225.70248805728417,226.18996643321785,1955293
2000-01-20,228.56658935546875,234.2335295874225,223.02151880592257,233.50231149297684,1358293
2000-01-21,220.0964508056641,228.13984269557204,217.9027984720528,226.92114695467689,1547960
2000-01-24,215.2216796875,222.2901153737259,213.02802723315403,222.2901153737259,1143213
2000-01-25,217.9027557373047,224.23997234711445,214.97788653277712,221.55884224296415,1541867
2000-01-26,226.67735290527344,228.38352652929163,219.60891932005524,220.3401365874916,1334387
2000-01-27,230.0897521972656,232.03966535147973,225.21496931173033,228.627317331605,1449120
2000-01-28,218.87794494628903,228.1400406121677,218.3904662270323,224.24021085811353,1207120
2000-01-31,222.2902069091797,225.94629583860697,219.36533576563784,220.82777133740873,1360480
2000-02-01,227.1649169921875,228.1398737174759,223.9963076350003,224.48378599764453,1197400
2000-02-02,225.2149200439453,228.62726731733844,222.2900509524655,227.40857186255516,1318920
2000-02-03,220.21902465820312,226.81826291100165,215.08628379491535,226.08501421624624,1900267
2000-02-04,214.1086578369141,225.84063908825183,211.90891135228824,222.4188112232783,1466240
2000-02-07,212.6422119140625,219.73028564453125,211.9089629074623,216.3084569470636,1244160
2000-02-08,218.9971160888672,219.73036536148615,215.57528614997864,216.3085354225976,1320587
