Date,Close,High,Low,Open,Volume
2000-01-03,22.0625,23.8125,21.8125,23.75,1656500
2000-01-04,22.0,22.5,21.5,21.875,1796600
2000-01-05,21.625,21.75,20.6875,21.625,2758000
2000-01-06,20.9375,21.625,20.375,21.5,1505800
2000-01-07,22.3125,22.375,20.9375,21.0,1891000
2000-01-10,23.375,23.875,22.0,22.5,1485600
2000-01-11,22.25,23.375,22.1875,23.0,1402500
2000-01-12,20.6875,22.875,20.6875,22.625,1142900
2000-01-13,21.0,21.5,20.3125,21.375,1245800
2000-01-14,22.25,22.3125,21.0,21.0,1341100
2000-01-18,22.625,23.0625,22.0,22.25,1144800
2000-01-19,23.0,23.3125,22.25,22.5625,951800
2000-01-20,23.0625,24.375,22.625,23.0,1845000
2000-01-21,21.875,22.9375,20.25,22.875,2558700
2000-01-24,23.6875,24.0,22.0,22.75,2939800
2000-01-25,24.0,24.625,23.0,24.5,3155500
2000-01-26,22.6875,23.5,21.625,23.5,2889900
2000-01-27,21.4375,22.375,21.0,22.0,1988200
2000-01-28,21.9375,22.125,21.25,21.625,2217000
2000-01-31,20.625,22.1875,20.625,21.9375,2330400
2000-02-01,21.625,21.9375,20.875,20.9375,1037700
2000-02-02,22.125,22.375,21.625,21.75,2213000
2000-02-03,22.25,22.8125,21.875,22.375,1811400
2000-02-04,22.375,22.8125,22.25,22.375,1382200
2000-02-07,22.6875,23.0,22.5625,23.0,750600
2000-02-08,23.0,23.0,22.3125,22.3125,1815700
2000-02-09,22.5625,23.375,22.3125,23.25,1231200
2000-02-10,21.875,22.4375,21.3125,22.4375,1202300
2000-02-11,21.8125,21.9375,21.375,21.75,744400
2000-02-14,20.0,21.0625,19.3125,20.875,3168100
2000-02-15,18.8125,19.5,18.3125,19.0,2000600
2000-02-16,19.5,20.0625,18.6875,18.6875,1976900
2000-02-17,18.5,19.75,17.8125,19.4375,2532500
2000-02-18,18.625,18.6875,17.6875,18.25,2711000
2000-02-22,18.1875,19.1875,18.0,19.0,1019100
2000-02-23,18.125,18.1875,17.8125,18.125,1283600
2000-02-24,18.875,19.0625,18.1875,18.375,1908700
