Date,Close,High,Low,Open,Volume
2000-01-03,194.6875,204.3671875,188.125,204.3125,1293200
2000-01-04,186.15625,192.28125,182.875,184.40625,1165943
2000-01-05,174.125,182.65625,168.65625,182.0,1824114
2000-01-06,160.5625,180.6875,158.8125,175.0,1687943
2000-01-07,202.125,210.875,168.0,172.8125,5233571
2000-01-10,225.3125,228.8125,203.4375,210.21875,2154657
2000-01-11,211.3125,230.125,209.5625,219.625,1423457
2000-01-12,207.375,218.75,200.8125,210.0,901314
2000-01-13,218.75,223.125,210.875,220.9375,951743
2000-01-14,233.84375,238.1640625,220.5,220.5,1561257
2000-01-18,243.90625,244.78125,232.75,235.375,1163000
2000-01-19,238.875,246.75,232.53125,245.0,660571
2000-01-20,257.03125,269.28125,250.6875,252.0,1936800
2000-01-21,258.34375,266.4375,246.3125,260.75,943943
2000-01-24,269.0625,277.8125,259.875,262.9375,1085686
2000-01-25,259.0,274.3125,243.25,273.875,1170914
2000-01-26,238.4375,262.5,237.125,258.890625,872200
2000-01-27,247.40625,262.5,241.0625,249.375,1268714
2000-01-28,231.4375,252.0,223.125,243.6875,1081371
2000-01-31,229.6875,234.5,210.21875,231.875,989514
2000-02-01,242.375,244.5625,229.90625,238.875,647714
2000-02-02,259.4375,262.5,243.25,243.25,899771
2000-02-03,264.03125,264.25,250.90625,262.28125,1152829
2000-02-04,264.46875,270.15625,259.875,265.125,719314
2000-02-07,282.84375,291.8125,273.0,275.625,1285029
2000-02-08,301.875,302.75,287.4375,290.5,1040171
2000-02-09,292.90625,304.5,288.75,299.90625,907257
2000-02-10,346.5,349.78125,294.4375,294.65625,3100171
2000-02-11,339.5,368.375,329.4375,346.5,1823486
2000-02-14,349.34375,364.875,345.1875,345.625,986314
2000-02-15,348.90625,364.0,329.65625,349.125,1037857
2000-02-16,411.90625,425.25,342.5625,343.21875,3219200
2000-02-17,397.46875,413.65625,385.21875,413.4375,1971657
2000-02-18,403.59375,439.25,401.625,409.5,2387429
2000-02-22,416.71875,436.625,399.65625,409.5,1573886
2000-02-23,408.84375,426.125,404.25,416.5,1012286
2000-02-24,436.40625,442.75,409.9375,415.84375,1507057
2000-02-25,474.6875,498.75,432.25,441.0,1612057
2000-02-28,522.59375,532.0,451.0625,478.1875,2238886
2000-02-29,559.34375,566.125,530.25,533.75,2460686
2000-03-01,619.5,631.75,553.0,559.5625,1791971
2000-03-02,551.25,661.5,535.5,635.25,2598543
2000-03-03,592.59375,630.875,560.21875,577.9375,2185657
2000-03-06,616.65625,633.28125,600.25,601.125,889543
2000-03-07,591.5,628.25,570.5,628.25,1442714
2000-03-08,537.6875,597.1875,528.5,595.875,2155057
2000-03-09,587.78125,591.5,531.5625,556.0625,1355686
2000-03-10,570.0625,598.5,549.5,575.75,804886
2000-03-13,514.9375,556.5,504.0,523.25,1479086
2000-03-14,469.0,539.0,469.0,528.71875,1851343
2000-03-15,438.59375,471.625,428.75,471.40625,2117371
2000-03-16,467.1953125,468.5625,402.9375,463.75,3151971
2000-03-17,499.1875,503.5625,465.5,470.75,1502571
2000-03-20,459.59375,504.0,456.96875,504.0,1368114
2000-03-21,492.40625,501.15625,417.15625,451.5,1503086
