Date,Close,High,Low,Open,Volume
2000-01-03,2.328125,2.554687976837158,2.25,2.554687976837158,143200
2000-01-04,2.375,2.5,2.3125,2.34375,90400
2000-01-05,2.75,2.75,2.28125,2.3125,365600
2000-01-06,2.875,3.15625,2.578125,2.578125,982400
2000-01-07,2.875,3.0625,2.71875,2.8125,828000
2000-01-10,3.0,3.140625,2.90625,2.921875,767200
2000-01-11,3.0,3.140625,2.875,3.015625,884000
2000-01-12,2.859375,3.0,2.53125,3.0,456800
2000-01-13,2.585937976837158,2.9375,2.390625,2.933593988418579,500000
2000-01-14,2.429687976837158,2.59375,2.429687976837158,2.554687976837158,262400
2000-01-18,2.6875,2.78125,2.382812976837158,2.40625,352800
2000-01-19,2.84375,2.890625,2.625,2.6875,298400
2000-01-20,2.5625,2.757812976837158,2.46875,2.71875,836000
2000-01-21,3.078125,3.140625,2.507812976837158,2.609375,1648000
2000-01-24,3.3125,3.484375,3.015625,3.09375,3062400
2000-01-25,3.140625,3.5,3.125,3.445312976837158,750400
2000-01-26,3.1875,3.25,3.132812976837158,3.1875,288000
2000-01-27,3.1875,3.265625,3.15625,3.15625,403200
2000-01-28,2.78125,3.1875,2.71875,3.125,416800
2000-01-31,2.875,2.875,2.703125,2.703125,380800
2000-02-01,2.9375,3.09375,2.78125,2.890625,140800
2000-02-02,2.90625,3.0,2.75,2.921875,302400
2000-02-03,2.75,3.03125,2.703125,2.890625,400000
2000-02-04,2.78125,2.875,2.734375,2.734375,396800
2000-02-07,2.703125,2.882812976837158,2.671875,2.878906011581421,476000
2000-02-08,2.703125,2.875,2.65625,2.726562976837158,854400
2000-02-09,2.71875,2.84375,2.6875,2.75,178400
2000-02-10,2.59375,2.796875,2.5,2.796875,370400
2000-02-11,2.507812976837158,2.625,2.5,2.515625,281600
2000-02-14,2.6875,2.742187976837158,2.5625,2.59375,408000
2000-02-15,3.0625,3.125,2.75,2.8125,1095200
2000-02-16,3.4375,3.5,3.085937976837158,3.125,2176000
2000-02-17,3.390625,3.671875,3.359375,3.492187976837158,1408000
2000-02-18,3.890625,4.0625,3.46875,3.515625,2643200
2000-02-22,3.851562976837158,4.453125,3.5625,4.375,2707200
2000-02-23,3.859375,3.976562976837158,3.382812976837158,3.609375,1769600
2000-02-24,4.046875,4.21875,3.625,3.976562976837158,642400
2000-02-25,3.625,4.070312976837158,3.566406011581421,3.953125,1028800
2000-02-28,4.0625,4.0625,3.5625,3.5625,900800
2000-02-29,4.296875,4.382812976837158,4.046875,4.0625,1891200
2000-03-01,4.375,4.390625,4.25,4.390625,764000
2000-03-02,7.5,7.84375,6.15625,6.5,17240800
2000-03-03,8.296875,8.5,6.375,6.375,8577600
2000-03-06,8.9375,9.03125,8.296875,8.6875,5576800
2000-03-07,8.734375,9.25,8.40625,9.0,4085600
2000-03-08,7.921875,9.03125,7.6875,8.9375,2303200
2000-03-09,7.140625,8.0,6.796875,7.90625,3142400
2000-03-10,5.859375,7.234375,5.8125,7.1875,3436000
2000-03-13,5.875,6.5,4.875,5.21875,3125600
2000-03-14,6.0625,6.734375,5.890625,5.890625,1500000
2000-03-15,6.09375,6.28125,5.671875,5.984375,1040800
2000-03-16,5.71875,6.171875,5.023437976837158,6.125,1221600
2000-03-17,6.40625,6.5,5.734375,5.8125,696000
2000-03-20,5.960937976837158,6.640625,5.734375,6.515625,765600
2000-03-21,5.65625,5.921875,5.25,5.84375,882400
2000-03-22,6.125,6.523437976837158,5.625,5.6875,768000
2000-03-23,6.25,6.25,5.5,6.1875,615200
2000-03-24,6.59375,6.859375,5.9375,6.234375,1093600
2000-03-27,6.375,6.75,6.251953125,6.6875,324800
2000-03-28,6.28125,6.375,5.984375,6.25,298400
2000-03-29,5.859375,6.34375,5.75,6.304687976837158,563200
2000-03-30,5.007812976837158,5.71875,4.625,5.6875,1739200
2000-03-31,4.75,5.234375,4.5,5.125,1396800
2000-04-03,3.84375,4.453125,3.78125,4.4375,1716800
2000-04-04,3.890625,4.0625,3.007812976837158,3.78125,1679200
2000-04-05,3.804687976837158,4.125,3.625,3.640625,550400
2000-04-06,3.8125,4.039062976837158,3.5625,3.75,930400
2000-04-07,4.046875,4.109375,3.8125,3.8125,668800
2000-04-10,4.140625,4.421875,3.96875,4.101562976837158,1558400
2000-04-11,4.0625,4.25,3.6875,3.875,1154400
2000-04-12,3.734375,4.15625,3.734375,4.140625,371200
2000-04-13,3.875,4.0,3.734375,4.0,712000
2000-04-14,3.765625,3.859375,3.59375,3.8125,975200
2000-04-17,3.84375,4.015625,3.46875,3.46875,812000
2000-04-18,4.984375,4.992187976837158,3.8125,3.9375,868800
2000-04-19,4.867187976837158,4.992187976837158,4.625,4.992187976837158,394400
2000-04-20,4.453125,4.984375,4.375,4.84375,562400
2000-04-24,4.5625,4.5625,4.25,4.40625,697600
2000-04-25,4.5,4.59375,4.3125,4.59375,238400
2000-04-26,4.46875,4.625,4.382812976837158,4.5,894400
2000-04-27,4.96875,4.96875,4.25,4.414062976837158,1558400
2000-04-28,5.0625,5.304687976837158,4.84375,5.0625,392000
2000-05-01,5.484375,5.5,4.984375,4.984375,484000
2000-05-02,4.867187976837158,5.734375,4.734375,5.421875,633600
2000-05-03,4.71875,4.84375,4.125,4.84375,741600
2000-05-04,4.515625,4.625,4.5,4.625,304000
2000-05-05,4.671875,4.828125,4.421875,4.421875,168000
2000-05-08,4.625,5.078125,4.5625,4.671875,382400
2000-05-09,4.71875,4.96875,4.578125,4.875,164800
2000-05-10,4.6875,4.875,4.5,4.71875,483200
2000-05-11,5.125,5.484375,4.6875,4.6875,765600
2000-05-12,5.0,5.21875,4.390625,5.125,289600
2000-05-15,5.25,5.25,4.859375,5.0,135200
2000-05-16,5.429687976837158,5.4375,5.1875,5.1875,468800
2000-05-17,5.390625,5.4375,5.234375,5.234375,279200
2000-05-18,5.078125,5.445312976837158,5.0,5.375,179200
2000-05-19,5.015625,5.21875,5.015625,5.125,120800
2000-05-22,4.890625,4.953125,4.375,4.90625,214400
2000-05-23,4.5,4.90625,4.5,4.90625,128800
2000-05-24,4.5,4.71875,4.34375,4.5,600800
2000-05-25,4.4375,4.875,4.4375,4.75,329600
2000-05-26,4.625,4.734375,4.359375,4.6875,182400
2000-05-30,4.8125,4.875,4.515625,4.515625,200000
2000-05-31,4.828125,4.859375,4.65625,4.859375,125600
2000-06-01,4.625,4.8125,4.5,4.65625,344000
2000-06-02,4.65625,4.8125,4.625,4.75,135200
2000-06-05,4.75,4.9375,4.34375,4.703125,224000
2000-06-06,4.625,5.1875,4.5,4.625,417600
2000-06-07,4.8125,5.0,4.726562976837158,4.726562976837158,94400
2000-06-08,4.875,5.328125,4.875,4.9375,153600
2000-06-09,5.125,5.125,4.9375,5.0,136000
2000-06-12,5.625,5.765625,5.21875,5.359375,533600
2000-06-13,5.632812976837158,5.8125,5.40625,5.8125,152800
2000-06-14,5.875,5.9375,5.59375,5.59375,360800
2000-06-15,5.6875,5.6875,5.328125,5.6875,273600
2000-06-16,5.5,5.75,5.46875,5.46875,56000
2000-06-19,5.9375,5.992187976837158,5.484375,5.75,106400
2000-06-20,5.9375,6.09375,5.75,5.875,299200
2000-06-21,6.1875,6.40625,5.78125,5.890625,442400
2000-06-22,5.78125,6.328125,5.75,6.328125,210400
2000-06-23,5.820312976837158,5.84375,5.75,5.78125,168000
2000-06-26,5.875,6.0625,5.785155773162842,5.789062976837158,306400
2000-06-27,5.953125,6.140625,5.953125,6.0625,284000
2000-06-28,6.5,6.5,5.929687976837158,5.972655773162842,998400
2000-06-29,6.6875,6.9375,6.3125,6.515625,659200
2000-06-30,6.046875,7.125,5.921875,6.90625,1369600
2000-07-03,5.960937976837158,6.125,5.875,6.0625,250400
2000-07-05,5.90625,6.0,5.890625,5.96875,407200
2000-07-06,5.75,5.882812976837158,5.328125,5.84375,185600
2000-07-07,5.625,5.890625,5.625,5.625,217600
2000-07-10,5.546875,5.84375,5.4375,5.625,416000
2000-07-11,5.515625,5.609375,5.4375,5.59375,100800
2000-07-12,5.625,5.695312976837158,5.4375,5.507812976837158,416800
2000-07-13,5.65625,5.65625,5.453125,5.640625,322400
2000-07-14,5.5,5.640625,5.4375,5.5,221600
2000-07-17,5.859375,5.890625,5.53125,5.546875,402400
2000-07-18,6.4375,6.5,5.6875,5.96875,601600
2000-07-19,6.375,6.375,6.0625,6.171875,337600
2000-07-20,6.375,6.4375,6.296875,6.4375,325600
