Date,Close,High,Low,Open,Volume
2000-01-03,25.75,26.6875,25.25,26.625,673600
2000-01-04,24.5,25.75,24.4375,25.75,779200
2000-01-05,26.03125,26.125,25.03125,25.25,1300400
2000-01-06,25.25,26.375,25.125,25.875,1287800
2000-01-07,26.03125,26.40625,25.0625,25.125,408000
2000-01-10,25.15625,26.4375,25.0,26.0625,1747800
2000-01-11,24.65625,25.09375,24.375,25.09375,783800
2000-01-12,24.53125,24.75,24.25,24.75,298800
2000-01-13,24.5625,24.6875,24.3125,24.5625,673800
2000-01-14,24.25,24.6875,24.03125,24.625,1663000
2000-01-18,23.8125,24.125,22.96875,24.125,1720000
2000-01-19,23.15625,23.9375,22.5,23.9375,2099000
2000-01-20,22.0,22.9375,21.96875,22.65625,1689000
2000-01-21,24.0,24.0,22.0,22.1875,2169600
2000-01-24,25.09375,25.25,24.25,24.75,2143600
2000-01-25,34.53125,34.625,30.8125,31.5,6187200
2000-01-26,34.25,34.28125,32.625,34.25,2991200
2000-01-27,32.875,34.3125,32.375,33.75,1587600
2000-01-28,33.375,33.78125,32.5,32.875,2487400
2000-01-31,36.9375,39.96875,33.375,33.375,2872800
2000-02-01,37.46875,37.75,35.4375,36.9375,978000
2000-02-02,37.5,37.5,35.9375,37.375,1091400
2000-02-03,37.5,38.75,36.90625,37.375,744400
2000-02-04,42.875,43.5,39.0,39.0,2530000
2000-02-07,42.21875,42.90625,39.0,42.90625,2073000
2000-02-08,40.9375,43.25,40.0,42.5,1418800
2000-02-09,39.8125,40.84375,39.3125,40.8125,660400
2000-02-10,41.59375,42.25,39.8125,40.125,1024400
2000-02-11,41.40625,44.8125,40.25,41.71875,1029600
2000-02-14,41.5625,42.25,40.25,41.625,359200
2000-02-15,46.0,47.5,41.6875,41.6875,1564000
2000-02-16,44.5,45.5625,43.125,45.5,1023200
2000-02-17,48.1875,49.25,45.0625,45.25,1383800
2000-02-18,47.78125,48.5,47.0,48.375,712400
2000-02-22,44.90625,47.71875,42.5,47.65625,1381400
2000-02-23,43.25,45.03125,42.0625,45.03125,786200
2000-02-24,45.96875,45.96875,43.625,43.625,1354600
2000-02-25,50.0,50.5,45.875,45.96875,810800
2000-02-28,47.375,50.0,47.125,49.625,1188000
2000-02-29,49.03125,49.6875,47.25,47.75,859600
2000-03-01,48.5,51.625,48.1875,49.03125,776600
2000-03-02,46.4375,48.53125,45.375,48.5,770000
2000-03-03,47.0625,48.40625,46.3125,46.4375,832000
2000-03-06,53.375,53.9375,46.25,47.25,1531400
2000-03-07,51.75,56.5,51.0,54.5,1154200
2000-03-08,48.875,51.75,46.5,51.75,1390200
2000-03-09,50.1875,52.1875,47.6875,48.84375,667800
2000-03-10,50.65625,51.46875,48.8125,50.5,940600
2000-03-13,49.28125,52.4375,48.875,49.25,688800
2000-03-14,45.25,51.3125,42.0625,50.125,1496800
2000-03-15,47.40625,48.6875,44.0625,45.375,1223200
2000-03-16,45.0625,46.75,44.8125,46.5,796600
2000-03-17,43.96875,46.46875,43.875,44.5,1080400
2000-03-20,42.96875,44.875,41.125,43.96875,1179000
2000-03-21,41.625,42.25,39.625,42.25,831000
2000-03-22,47.625,47.84375,42.25,42.25,772000
2000-03-23,48.875,50.5,46.96875,47.625,1054800
2000-03-24,44.96875,49.5,44.9375,48.75,867000
2000-03-27,46.625,47.3125,43.625,44.6875,683200
2000-03-28,44.375,47.5,44.125,46.625,697200
2000-03-29,43.90625,44.84375,42.25,44.5,722600
2000-03-30,43.125,46.0,42.25,43.96875,886200
2000-03-31,47.625,50.5,44.0,44.0,1552600
2000-04-03,43.5625,47.25,42.0,47.25,1176400
